Number of lines (excluding empty): 9024
Number of words: 45679
Number of characters (excluding newlines): 268088

Word occurrences:
yugo: 12
hicieron: 12
soberano: 12
sereno: 12
tuvo: 12
pasado: 12
pasados: 12
extiende: 12
obscura: 12
vence: 12
lusitanos: 12
junto: 12
cría: 12
vea: 12
cuidado: 12
casos: 12
vaya: 12
cuánto: 12
frente: 12
envía: 12
vuelve: 12
casa: 12
entra: 12
demás: 12
dicen: 12
preso: 12
furia: 12
descubre: 12
leyes: 12
huye: 12
ninguno: 12
habrá: 12
salir: 12
veía: 12
cruda: 12
tantos: 12
ejército: 12
boca: 12
fernando: 12
aves: 12
trato: 12
tras: 12
hará: 12
mostrando: 11
empresas: 11
mí: 11
torpe: 11
valeroso: 11
primer: 11
cuello: 11
tetis: 11
señorío: 11
ven: 11
días: 11
altas: 11
ganado: 11
comienza: 11
sido: 11
perdida: 11
sois: 11
vencedor: 11
cuantos: 11
honras: 11
ordena: 11
palma: 11
lejos: 11
hallar: 11
tengo: 11
firme: 11
determina: 11
derrama: 11
naciones: 11
huyendo: 11
brava: 11
pocos: 11
dama: 11
provecho: 11
resistencia: 11
antiguo: 11
contrarios: 11
llevaba: 11
ajeno: 11
quería: 11
vieron: 11
gusto: 11
andaba: 11
fuerzas: 11
cara: 11
alcanza: 11
alguno: 11
caballos: 11
mora: 11
estima: 11
playas: 11
áfrica: 11
sierra: 11
codicia: 11
mozo: 11
portuguesa: 11
lisboa: 11
causa: 11
estado: 11
hermosas: 11
hombres: 11
verás: 11
amada: 10
sacro: 10
alteza: 10
grandeza: 10
verdad: 10
éstos: 10
cualquiera: 10
feroz: 10
espanto: 10
bárbaro: 10
pueblos: 10
blanca: 10
pensamiento: 10
austro: 10
fino: 10
pone: 10
orden: 10
ánimo: 10
porfía: 10
puro: 10
obedece: 10
derecho: 10
amigo: 10
recelo: 10
nuevas: 10
adelante: 10
visto: 10
cierta: 10
ésta: 10
mombaza: 10
carro: 10
regidor: 10
traía: 10
europa: 10
hombre: 10
consiente: 10
seno: 10
lugar: 10
desde: 10
bando: 10
tenga: 10
acompañado: 10
rayo: 10
bateles: 10
mata: 10
espanta: 10
flaco: 10
pasa: 10
mensajero: 10
años: 10
mostró: 10
segundo: 10
tienes: 10
verdadero: 10
soberbio: 10
soberana: 10
serán: 10
extraño: 10
gesto: 10
bravo: 10
ciudades: 10
soberbia: 10
calicut: 10
nilo: 10
melinde: 10
caro: 10
remedio: 10
pujantes: 10
debe: 10
osadía: 10
puesta: 10
vencido: 10
vidas: 10
mujer: 10
viva: 10
mando: 10
justa: 10
toma: 10
terreno: 10
digno: 10
vencer: 10
ciencia: 10
compañero: 10
rico: 10
monzaide: 10
igual: 9
confianza: 9
ramo: 9
presente: 9
postrero: 9
nido: 9
nuño: 9
bandera: 9
brío: 9
almas: 9
sean: 9
hermoso: 9
entrada: 9
amigos: 9
pasar: 9
loor: 9
pretende: 9
decir: 9
quieres: 9
fortaleza: 9
banda: 9
islas: 9
amado: 9
aquesto: 9
secta: 9
recibe: 9
contento: 9
encierra: 9
figura: 9
llevar: 9
caza: 9
toro: 9
descubierto: 9
falsa: 9
vive: 9
nobles: 9
llaman: 9
celo: 9
algunos: 9
excelentes: 9
hecha: 9
señalado: 9
sublimada: 9
peso: 9
milagro: 9
esclarecido: 9
veo: 9
obscuro: 9
nuevos: 9
saetas: 9
vendrá: 9
freno: 9
vi: 9
apolo: 9
rodea: 9
llega: 9
arena: 9
oficio: 9
respuesta: 9
voces: 9
batel: 9
historia: 9
cumbre: 9
carne: 9
junta: 9
sustenta: 9
cercado: 9
cerco: 9
pudo: 9
cinco: 9
lanzas: 9
piedras: 9
dina: 9
mancebo: 9
multitud: 9
fieras: 9
muertes: 9
banderas: 9
dejando: 9
veloso: 9
tomé: 9
libia: 8
canta: 8
poderoso: 8
versos: 8
tomó: 8
pujanza: 8
invicto: 8
famosas: 8
batallas: 8
blandamente: 8
cielos: 8
corona: 8
intento: 8
largos: 8
suya: 8
negro: 8
entiende: 8
espesura: 8
armado: 8
ofrece: 8
generoso: 8
llegada: 8
siente: 8
mandado: 8
muestras: 8
deseada: 8
seda: 8
aquellas: 8
dulces: 8
cristianos: 8
pide: 8
soy: 8
odio: 8
forma: 8
sc: 8
sé: 8
podía: 8
ligero: 8
correr: 8
sentido: 8
mismo: 8
espera: 8
buscando: 8
malicia: 8
bellas: 8
blancas: 8
flaca: 8
piedad: 8
mirar: 8
muerto: 8
ilustres: 8
mejores: 8
ante: 8
verá: 8
mía: 8
buen: 8
daba: 8
fina: 8
justicia: 8
subido: 8
tendrá: 8
propio: 8
cuenta: 8
prado: 8
injuria: 8
alonso: 8
hubo: 8
conde: 8
esperaba: 8
atreve: 8
yerro: 8
sosegado: 8
soldados: 8
doma: 8
vino: 8
reina: 8
haya: 8
ambos: 8
vosotros: 8
presencia: 8
ojo: 8
pie: 8
lugares: 8
descubrir: 8
viaje: 8
nombres: 8
miembros: 8
globo: 8
malabar: 8
varones: 7
pasaron: 7
remota: 7
asia: 7
verso: 7
celebrado: 7
precio: 7
dé: 7
hemisferio: 7
suma: 7
templo: 7
gobierno: 7
servicio: 7
quiero: 7
magricio: 7
eneas: 7
materia: 7
veis: 7
siete: 7
momento: 7
piedra: 7
antiguos: 7
moradores: 7
luciente: 7
riega: 7
raro: 7
madero: 7
roja: 7
estrella: 7
bóreas: 7
ramos: 7
usada: 7
confuso: 7
lleno: 7
dicho: 7
busca: 7
arco: 7
mostraba: 7
lava: 7
reposo: 7
pensaba: 7
costumbres: 7
ligeras: 7
diera: 7
diversos: 7
navegando: 7
mástil: 7
poner: 7
remoto: 7
señales: 7
naturaleza: 7
refresco: 7
pasó: 7
cabellos: 7
fiestas: 7
partía: 7
efecto: 7
usado: 7
uso: 7
habla: 7
astuto: 7
mirando: 7
acaso: 7
haciéndose: 7
mostrar: 7
insano: 7
ayuntamiento: 7
quede: 7
medroso: 7
lleve: 7
diestro: 7
adversario: 7
coger: 7
muere: 7
diligente: 7
quieren: 7
conviene: 7
hijas: 7
engaños: 7
daños: 7
pensamientos: 7
tormenta: 7
dónde: 7
meta: 7
puerta: 7
extremo: 7
sospecha: 7
limpia: 7
alegres: 7
levantando: 7
grita: 7
priesa: 7
volando: 7
maestre: 7
roto: 7
gana: 7
deseos: 7
nieve: 7
presenta: 7
fuente: 7
mayores: 7
tributo: 7
pelea: 7
dío: 7
mahoma: 7
sueños: 7
rumor: 7
aparece: 7
crüel: 7
riberas: 7
negra: 7
movimiento: 7
entraba: 7
verdadera: 7
nobleza: 7
merece: 7
pasando: 7
tristes: 7
ríos: 7
bajo: 7
golpes: 7
oyendo: 7
inmenso: 7
fuentes: 7
oceano: 7
viven: 7
valía: 7
primeros: 7
enrique: 7
rendido: 7
sumo: 7
lado: 7
animales: 7
corta: 7
vencidos: 7
lazo: 7
mucha: 7
viste: 7
preeminente: 7
suele: 7
arabia: 7
valientes: 7
estotro: 7
sancho: 7
ambición: 7
vivo: 7
lago: 7
caballeros: 7
rosas: 7
mirad: 7
muda: 7
hacía: 7
parientes: 7
abundantes: 7
natura: 7
pero: 7
ello: 7
nube: 7
cristal: 7
presto: 7
diosas: 7
puertas: 7
duque: 7
naires: 7
cantando: 7
tuvieron: 6
musa: 6
habéis: 6
cabe: 6
reparte: 6
tierno: 6
nacido: 6
llamada: 6
escudo: 6
bruta: 6
ejemplo: 6
movido: 6
hazañas: 6
extrañas: 6
egas: 6
inglaterra: 6
queréis: 6
singulares: 6
pierde: 6
ese: 6
dada: 6
temeroso: 6
vía: 6
regimiento: 6
dado: 6
diamante: 6
abajo: 6
hados: 6
humanos: 6
sarraceno: 6
ameno: 6
alcanzaron: 6
sufre: 6
africana: 6
razones: 6
baña: 6
cree: 6
semblante: 6
intención: 6
envidia: 6
flaqueza: 6
ferviente: 6
vuelo: 6
sucedió: 6
traían: 6
verde: 6
vestidos: 6
licor: 6
venían: 6
rodeado: 6
oriental: 6
navegamos: 6
manso: 6
vinieron: 6
destino: 6
ricas: 6
traje: 6
diferentes: 6
león: 6
veneno: 6
pudiese: 6
secretos: 6
quedan: 6
destruído: 6
batalla: 6
quiera: 6
derecha: 6
saña: 6
vestido: 6
pintó: 6
toca: 6
arma: 6
mujeres: 6
buscaba: 6
apercibido: 6
solos: 6
defender: 6
puestos: 6
