Lossy counting results (epsilon=0.001):
Total words processed: 187737
Bucket width: 1000

Word occurrences:
aforesaid: 1
gentlemen: 1
happy: 1
chance: 1
lead: 1
discover: 1
title: 1
beg: 1
behalf: 1
earnestly: 1
intending: 1
cause: 1
writing: 1
monstrous: 1
absurdities: 1
leaving: 1
compunction: 1
provoked: 1
closed: 1
faintness: 1
flutter: 1
haste: 1
relieve: 1
lived: 1
fainted: 1
confusion: 1
ate: 1
drank: 1
inheriting: 1
wipes: 1
softens: 1
heir: 1
grief: 1
expected: 1
received: 1
sacraments: 1
forcible: 1
terms: 1
expressed: 1
book: 1
calmly: 1
amid: 1
yielded: 1
spirit: 1
perceiving: 1
begged: 1
witness: 1
commonly: 1
naturally: 1
desired: 1
testimony: 1
remove: 1
possibility: 1
save: 1
benengeli: 1
bringing: 1
falsely: 1
interminable: 1
stories: 1
ingenious: 1
whose: 1
indicate: 1
precisely: 1
towns: 1
villages: 1
contend: 1
adopt: 1
son: 1
seven: 1
cities: 1
greece: 1
contended: 1
homer: 1
omitted: 1
epitaphs: 1
tomb: 1
following: 1
lines: 1
doughty: 1
stranger: 1
fear: 1
prevail: 1
hour: 1
quail: 1
cared: 1
feats: 1
scared: 1
crazy: 1
sage: 1
hung: 1
brass: 1
wire: 1
shelf: 1
skilful: 1
clumsy: 1
cut: 1
ages: 1
unless: 1
presumptuous: 1
malignant: 1
storytellers: 1
profane: 1
ere: 1
touch: 1
best: 1
canst: 1
weaklings: 1
adventure: 1
none: 1
emprise: 1
king: 1
meant: 1
born: 1
act: 1
notwithstanding: 1
pretended: 1
tordesillesque: 1
writer: 1
ventured: 1
venture: 1
coarse: 1
illtrimmed: 1
ostrich: 1
quill: 1
valiant: 1
knightno: 1
burden: 1
shoulders: 1
subject: 1
frozen: 1
wit: 1
perchance: 1
shouldst: 1
lie: 1
weary: 1
mouldering: 1
bones: 1
attempt: 1
carry: 1
opposition: 1
privileges: 1
old: 1
castile: 1
rise: 1
grave: 1
reality: 1
powerless: 1
third: 1
expedition: 1
sally: 1
enjoyment: 1
approval: 1
everybody: 1
become: 1
known: 1
foreign: 1
countries: 1
sufficient: 1
purpose: 1
ridicule: 1
discharge: 1
calling: 1
counsel: 1
bears: 1
illwill: 1
satisfied: 1
proud: 1
fruit: 1
writings: 1
fully: 1
deliver: 1
mankind: 1
false: 1
foolish: 1
tales: 1
thanks: 1
tottering: 1
